Job Title,Company Name,Location,Salary Estimate,Rating,Job Description
Software Developer - Cloud AI (GCP),N/A,Remote,₹15L/yr (Employer provided),N/A,N/A
Senior Data Engineering Consultant - SQL Server DBA,"Optum
3.5",Noida,₹9L – ₹10L/yr (Glassdoor Est.),3.5,N/A
Senior Developer FSM,"Electrolux
4.0",Bengaluru,₹1L – ₹8L/yr (Glassdoor Est.),4.0,N/A
"ServiceNow Developer, AI & ML Operations","Sanofi EU
4.0",Hyderābād,₹4L – ₹5L/yr (Glassdoor Est.),4.0,N/A
"Software Engineer -III, ITC","NIKE
4.0",Karnataka,N/A,4.0,N/A
Data Science Group Manager,"Citi
3.7",Chennai,N/A,3.7,N/A
Senior Backend Developer,N/A,Karnataka,₹16L – ₹25L/yr (Employer provided),N/A,N/A
Software Developer (React Js),N/A,India,₹6L/yr (Employer provided),N/A,N/A
Head of Technology,N/A,Ahmedabad,₹7L – ₹8L/yr (Employer provided),N/A,N/A
"Software Developer 2, Production Planning","Kinaxis Inc.
4.0",Bengaluru,₹4L – ₹9L/yr (Glassdoor Est.),4.0,N/A
Software development team lead,N/A,Vijayawāda,₹30K – ₹40K/mo (Employer provided),N/A,N/A
AI Engineer – Client Automation & Agent Development,N/A,India,₹7L/yr (Employer provided),N/A,N/A
"Senior Software Developer, Machine Learning","Kinaxis Inc.
4.0",India,N/A,4.0,N/A
Senior SEO Executive,N/A,India,₹30K – ₹51K/mo (Employer provided),N/A,N/A
AI Developer Intern,N/A,India,₹20K – ₹60K/mo (Employer provided),N/A,N/A
Senior Backend Developer,N/A,Visakhapatnam,₹65K – ₹85K/mo (Employer provided),N/A,N/A
Sr. Python Developer,N/A,Mohali,₹80K – ₹1L/mo (Employer provided),N/A,N/A
AI/ML Developer,N/A,Remote,₹2L/yr (Employer provided),N/A,N/A
"Senior Manager Software Engineering, ITC","NIKE
4.0",Karnataka,N/A,4.0,N/A
Sr Product Executive,N/A,Ahmedabad,₹7L – ₹8L/yr (Employer provided),N/A,N/A
Full Stack Developer,N/A,Noida,₹40L – ₹80L/yr (Employer provided),N/A,N/A
Graphic Designer,N/A,India,₹35K – ₹45K/mo (Employer provided),N/A,N/A
Senior Full Stack Developer,N/A,India,₹15L/yr (Employer provided),N/A,N/A
Senior Engineering Manager - Credit Risk Reporting,"Citi
3.7",Chennai,N/A,3.7,N/A
"Java Engineering Lead (Core Java, Spring, Hibernate. Microservices, Distributed Caching frameworks) - Vice President - C13 - Chennai","Citi
3.7",Chennai,N/A,N/A,N/A
Developer AI + Full Stack,N/A,Remote,₹20K – ₹70K/mo (Employer provided),N/A,N/A
AI Developer,"Elfonze Technologies
4.9",Remote,N/A,4.9,N/A
Junior AI/ML Developer (Entry-Level) (Experience: 0-2 years),"SwaaS Systems
3.8",Chennai,N/A,3.8,N/A
Junior AI/ML Developer (WFH),"Outsource Bigdata
4.1",Remote,N/A,4.1,N/A
Gen AI Developer | 6 to 9 years | Pune & Hyderabad,"Capgemini Invent
3.8",Pune,N/A,3.8,N/A
"Senior Software Engineering Lead - AI/ML ,GenAI , Gemini, GPT4,","Optum
3.5",Hyderābād,₹1L – ₹6L/yr (Glassdoor Est.),3.5,N/A
Salesforce Business Analyst,"Kinaxis Inc.
4.0",India,N/A,4.0,N/A
Generative AI (GenAI) Developer,N/A,Remote,₹24L/yr (Employer provided),N/A,N/A
Junior Software Developer,N/A,Remote,₹3L/yr (Employer provided),N/A,N/A
AI Developer,N/A,Coimbatore,₹25K – ₹60K/mo (Employer provided),N/A,N/A
AI Developer,N/A,Remote,₹10L – ₹17L/yr (Employer provided),N/A,N/A
AI Developer,N/A,India,₹25K – ₹35K/mo (Employer provided),N/A,N/A
AI Application Developer,N/A,Remote,₹3L – ₹8L/yr (Employer provided),N/A,N/A
AI developer Fresher,N/A,India,N/A,N/A,N/A
AI Associate and Developer,N/A,Calcutta,N/A,N/A,N/A
AI Software Engineer Intern,N/A,Remote,₹30K/mo (Employer provided),N/A,N/A
Personal Injury Paralegal (AI-Generated Settlement Demand Reviewer),"Codvo.ai
3.7",Remote,N/A,3.7,N/A
Gen AI Developer,Begig,Remote,₹500.00/hr (Employer provided),0.0,N/A
AI Developer,"Suffes Com
4.1",Chandigarh,₹3L – ₹7L/yr (Employer provided),4.1,N/A
AI/ML Developer,N/A,India,₹50K – ₹80K/mo (Employer provided),N/A,N/A
AI Developer,"ENTHU TECHNOLOGY SOLUTIONS INDIA PVT LTD
3.8",Coimbatore,₹14K – ₹25K/mo (Employer provided),3.8,N/A
AI Agent Developer (Langchain),"Diatoz Solutions Private Limited
3.9",India,N/A,3.9,N/A
AI Agent Developer,"Infiniticube Services Pvt Ltd
4.0",Remote,₹20K – ₹90K/mo (Employer provided),4.0,N/A
Ai chatbot development intern,N/A,Remote,N/A,N/A,N/A
AI/ML Developer,N/A,Chennai,₹2L/yr (Employer provided),N/A,N/A
AI Developer,"Shamla Tech Solution
3.9",Coimbatore,₹2L – ₹6L/yr (Glassdoor Est.),3.9,N/A
AI Developer,"Lilly
4.0",Bengaluru,₹6L – ₹8L/yr (Glassdoor Est.),4.0,N/A
Python AI Developer,"Sunfocus Solutions Pvt Ltd
3.8",Mohali,₹80K/mo (Employer provided),3.8,N/A
Gen AI Developer,"Scalex Technology Solutions
4.7",Remote,N/A,4.6,N/A
AI Developer,"Weekday
3.8",Bengaluru,₹3L – ₹10L/yr (Employer provided),3.8,N/A
AI/ML Developer (Fresher),"Openspace Services
4.0",Mumbai,₹3L – ₹5L/yr (Glassdoor Est.),4.0,N/A
Python Software Developer - Fresher (WFH),"Desirous Global Consulting
4.0",Chennai,₹1L – ₹2L/yr (Employer provided),4.0,N/A
AI/ML Developer,"White Mastery Systems
3.6",Chennai,₹3L – ₹7L/yr (Employer provided),3.6,N/A
AI Developer - AID45726,"KritiLabs Technologies
2.9",Chennai,₹2L – ₹6L/yr (Glassdoor Est.),2.9,N/A
Technical Project Manager,N/A,India,₹16L – ₹23L/yr (Employer provided),N/A,N/A
AI/ML Lead,"MKS Inc.
3.8",Gurgaon,₹3L – ₹6L/yr (Glassdoor Est.),3.8,N/A
Software Engineering Senior Manager - X Delivery,"Boston Consulting Group
4.2",Gurgaon,N/A,N/A,N/A
AI Developer,"SNS System
4.4",Remote,N/A,N/A,N/A
Generative AI Developer Intern,N/A,Hyderābād,N/A,N/A,N/A
AI Developer (Fresher),"Silent Infotech
4.1",Ahmedabad,N/A,N/A,N/A
AI Developer,N/A,Hyderābād,N/A,N/A,N/A
AI/ML/Gen AL Developer,N/A,Cochin,N/A,N/A,N/A
"Opportunities For Python Developer, AI ML Engineers",N/A,India,N/A,N/A,N/A
"AI ML, Gen AI Developer",N/A,Bengaluru,N/A,N/A,N/A
REMOTE (INDIA): AI Prompt Engineer & Curriculum Developer (EdTech),N/A,India,N/A,N/A,N/A
Python AI/ML Developer,"Weavers Web Solutions Pvt. Ltd
4.5",India,N/A,N/A,N/A
Full Stack Developer,N/A,Remote,N/A,N/A,N/A
AI Developer,"Softtrix Tech Solutions Private Limited
4.8",Mohali,N/A,N/A,N/A
AI/ML Developer,Shayona Technology,Ahmedabad,N/A,N/A,N/A
AI/ML Engineer (Python Developer),"Cybernetyx
4.2",Bengaluru,N/A,N/A,N/A
AI Developer,N/A,Gāndhīnagar,N/A,N/A,N/A
