Job Title,Location,Rating,monthly,min_salary_rupees,max_salary_rupees,avg_salary_rupees,company_name_cleaned
"Machine Learning Engineer, SEO Science",Bengaluru,3.9,0,400000,900000,650000.0,eBay
Senior Technical Architect - Web Data & Analytics,Bengaluru,3.9,0,400000,900000,650000.0,Quicken
Senior Products Operations Manager - Data Science Products,Hyderābād,,0,900000,900000,900000.0,Novartis
Senior Machine Learning Engineer #7405,Hyderābād,3.4,0,700000,800000,750000.0,New Relic
Generative AI Architect,Pune,3.9,0,600000,600000,600000.0,XoriantːIN
Director - Enterprise AI Platform,Bengaluru,4.0,0,600000,1100000,850000.0,GSK
Senior Machine Learning Engineer,Bengaluru,3.8,0,300000,500000,400000.0,Harness.io
Lead I - Software Engineering (Machine Learning - Gen AI),Bengaluru,3.9,0,600000,800000,700000.0,UST Global
Senior Specialist - Gen AI Business Analyst (Life Sciences),Hyderābād,,0,600000,800000,700000.0,Novartis
Generative AI Solutions Lead,Pune,3.9,0,500000,500000,500000.0,XoriantːIN
Sr Manager of Software Engineering,Bengaluru,4.1,0,300000,1000000,650000.0,JPMorganChase
Senior ML Engineer,Nāgpur,3.2,0,100000,800000,450000.0,Corpay
Project Manager – Analytics Consulting and SaaS Implementation,Gurgaon,2.6,0,500000,900000,700000.0,AiDash
Senior Software Engineer - AI/ML Engineer,Chennai,3.7,0,200000,1000000,600000.0,"Viasat, Inc."
Principal AI ML Engineer,Bengaluru,4.0,0,200000,500000,350000.0,Ericsson
Associate Director - Gen AI Business Analyst (Life Sciences),Hyderābād,,0,600000,800000,700000.0,Novartis
Senior ML Engineer,Hyderābād,3.8,0,100000,200000,150000.0,Uber
Principal Machine Learning Engineer,Hyderābād,4.0,0,300000,700000,500000.0,Amgen
Senior Manager - Pricing Analytics,Hyderābād,4.1,0,600000,600000,600000.0,Thomson Reuters
"Technical Lead (Machine Learning, Python) - C13 - VP - Pune",Pune,3.7,0,100000,300000,200000.0,Citigroup
Data Scientist,Bengaluru,4.2,0,700000,1000000,850000.0,NetApp
Data Scientist I,Bengaluru,3.6,0,200000,800000,500000.0,Sixt
Payments - Data Scientist Associate,Mumbai,4.1,0,300000,500000,400000.0,JPMorganChase
Data Analyst,Thiruvananthapuram,3.0,1,15000,25000,20000.0,Marikar (Motors) Ltd
ASSOCIATE DATA SCIENTIST,Gurgaon,3.8,0,200000,1000000,600000.0,McCormick
Data Scientist,Hyderābād,4.0,0,500000,1000000,750000.0,Amgen
Data Scientist (US Value & Access Insights),Hyderābād,4.0,0,500000,1000000,750000.0,Amgen
Data Scientist_R&D,Bengaluru,3.1,0,600000,900000,750000.0,Avathon
AIML - Data Scientist - Hyderabad,Chennai,3.6,0,500000,900000,700000.0,Cognizant
Principal Data Scientist (Demand Forecasting),Bengaluru,4.3,0,1000000,1000000,1000000.0,Texas Instruments
"Data Scientist II, Payment Risk Machine Learning",Hyderābād,3.6,0,500000,1000000,750000.0,Amazon Dev Center India - Hyderabad
Data Science Trainer,India,4.8,0,0,0,0.0,Certybox
Data Scientist & Gen AI Consultant(BTP D@S),Gurgaon,1.0,0,500000,800000,650000.0,SAP Group
Decision Scientist - Associate,Mumbai,3.8,0,300000,800000,550000.0,FedEx AMEA
Data Scientist,Gurgaon,3.1,0,200000,800000,500000.0,Circle K
CFL Data Scientist,Bengaluru,4.0,0,400000,1000000,700000.0,SUSE
Principal Member of technical Staff- AI & Data Engineering,Chennai,4.1,0,500000,800000,650000.0,Athenahealth
