Job Title,Location,Rating,monthly,min_salary_rupees,max_salary_rupees,avg_salary_rupees,company_name_cleaned
"Data Scientist, Amazon Payments (Level 5), Amazon",Bengaluru,3.6,0,500000,1000000,750000.0,ADCI - Karnataka
"Applied Scientist I, Geospatial Science, Last Mile",Hyderābād,3.6,0,300000,1000000,650000.0,ADCI HYD 13 SEZ
Data Scientist,Hyderābād,4.1,0,600000,800000,700000.0,Thomson Reuters
Data Scientist - AWS Professional Services,Bengaluru,3.7,0,700000,1000000,850000.0,AWS ProServe IN - Karnataka
Senior Data Scientist,Bengaluru,4.1,0,700000,1000000,850000.0,Fidelity Investments
Trainer/Faculty - Artificial Intelligence & Data Science,Cochin,5.0,1,15000,20000,17500.0,TECACS IT GROUP PVT LTD
"Team Lead, Data Analytics",Noida,4.3,0,700000,800000,750000.0,CoreLogic
AI Data Engineer,Hyderābād,3.8,0,500000,900000,700000.0,NTT DATA
Python Machine Learning,Mohali,3.9,1,30000,80000,55000.0,iTechnolabs
Data Science Analyst (Standard),Gurgaon,3.7,0,400000,600000,500000.0,Infogain
Lead Data Scientist,Coimbatore,4.0,0,400000,800000,600000.0,"EPAM Systems, Inc."
Senior Data Scientist - AWS Professional Services,Mumbai,3.7,0,600000,900000,750000.0,AWS ProServe IN - Maharashtra
AI/ML Engineer (Python Developer),Bengaluru,4.2,0,500000,600000,550000.0,Cybernetyx
Machine Learning Engineer,Gurgaon,4.1,0,600000,600000,600000.0,Paxcom India
Senior Data Scientist,Bengaluru,4.1,0,500000,800000,650000.0,Thomson Reuters
Machine Learning Engineer,Bengaluru,4.1,0,500000,600000,550000.0,Autodesk
Senior Digital Analyst (MCI),Gurgaon,4.4,0,400000,900000,650000.0,TRU IT
Data Science Analyst (Senior),Mumbai,3.7,0,400000,600000,500000.0,Infogain
Manager - Data Science,Gurgaon,4.1,0,400000,600000,500000.0,Amex
Talent Services - Manager - Learning Operations (Insights),Hyderābād,3.9,0,500000,900000,700000.0,Deloitte
Specialist - AI Development,Bengaluru,3.6,0,400000,900000,650000.0,Carrier
Senior Engineer - Machine Learning,Gurgaon,3.8,0,900000,1000000,950000.0,United Airlines
Director/Sr.Director of AI Engineering,Bengaluru,3.6,0,300000,700000,500000.0,Credit Saison
"Manager, AI Enablement",Bengaluru,4.1,0,200000,700000,450000.0,Thomson Reuters
Modelling and Analytics Senior Manager,Bengaluru,3.8,0,200000,200000,200000.0,Commonwealth Bank
AI Research Engineer (Model Evaluation),Bengaluru,3.1,0,500000,900000,700000.0,Tether Operations Limited
Senior Machine Learning Engineer,Bengaluru,4.1,0,500000,600000,550000.0,Autodesk
"Principal Engineer - Development (Machine Learning, Python)",Pune,3.7,0,200000,900000,550000.0,FIS Global
AI/ML Engineer – Team Lead,Ahmedabad,3.6,0,400000,400000,400000.0,NexusLink Services
Lead Consultant - ML Engineer,Hyderābād,3.8,0,700000,800000,750000.0,Genpact
Machine Learning Engineer,,4.2,1,15000,25000,20000.0,CompIndia Infotech Pvt Ltd
Mid Data Scientist,Bengaluru,4.2,0,600000,900000,750000.0,Reflections Info Systems
Data Analyst Trainer,Madurai,4.0,1,12000,18000,15000.0,Elysium Group of Companies
Lead Decision Scientist,Bengaluru,3.8,0,400000,1000000,700000.0,Tesco India
Lab45 - AI-ML Engineer,Bengaluru,3.6,0,600000,700000,650000.0,Wipro Limited
"Machine Learning Manager, Apple Intelligence",Bengaluru,4.1,0,600000,1000000,800000.0,Apple
AI/ML Engineer - 5 to 10 yrs,Chennai,3.6,0,400000,600000,500000.0,Wipro Limited
Digital Practice Lead_Data & AI,Mumbai,3.9,0,300000,1000000,650000.0,Savic
Data Science Trainer,India,4.3,0,300000,800000,550000.0,Itvedant Education Pvt Ltd
Asst. Manager - Fraud Analytics,Noida,3.9,0,800000,900000,850000.0,Barclays
AI Product Owner,Pune,3.7,0,800000,1000000,900000.0,Johnson Controls
"Senior Manager – Data science, data modelling and analytics",Bengaluru,3.6,0,500000,600000,550000.0,Dentsu
Senior Analyst - Data Scientist,Noida,3.9,0,800000,1000000,900000.0,Barclays
Data Scientist,India,3.7,1,20000,30000,25000.0,i-Sourcing Technologies Private Limited
Data Scientist & LLM Operations Specialist- Contract to hire,,4.2,0,500000,1600000,1050000.0,Rapsys Technologies
Data Scientist Senior Associate,Bengaluru,3.8,0,200000,200000,200000.0,Commonwealth Bank
LLM - Machine Learning TensorFlow + JAX,Remote,,0,1000000,1500000,1250000.0,GiantMind Solutions
Senior Data Scientist,Bengaluru,4.0,0,400000,900000,650000.0,Ericsson
AI/ML Associate Engineer,Hyderābād,4.4,0,300000,800000,550000.0,Acads360 India Private Limited
Lead Data Scientist,Pune,4.2,0,200000,200000,200000.0,Mastercard
